personCLASE,corpus,palabras,signal_mean_chroma_stft,signal_mode_chroma_stft,signal_mean_mfcc,signal_iqr_mfcc,zero_crossings,signal_mean_spectral_bandwidth,signal_mode_spectral_bandwidth,signal_mean_beats,signal_estimate_tuning,fftfreq_mean,fftfreq_mode,fftfreq_iqr,mean_SIGNAL_chroma_cq,signal_iqr_chroma_cq,signal_mean_y_harmonic,signal_median_y_harmonic,signal_mean_percussive,signal_mode_percussive,signal_median_stft,signal_iqr_stft,signal_median_spectral_bandwidth,mean_signal_spectral_contrast,signal_iqr_percussive
CHILD,0,0,0.33404216,0.06200721,-9.867194,18.77540374,1453,2249.447901,3333.989647,3,-0.16,-1.07E-05,-0.5,0.499989344,0.23461892,0.266135906,3.76E-05,0.003615341,0.000111455,-0.012511805,0.009942416,0.040989067,1876.482369,18.81430863,0.022421994
CHILD,0,1,0.3548571,0.11942277,-5.7374187,27.36083937,2918,2542.695215,4285.328416,30,0.23,1.40E-17,-0.499989708,0.499989708,0.2965659,0.440643953,0.000100219,0.009355668,-4.01E-06,-0.024654256,0.027691748,0.202646339,2469.727169,20.07912208,0.021729845
CHILD,0,2,0.34152696,0.12738842,-10.784839,22.59967637,5293,3128.661614,1703.45017,33.5,0.17,1.01E-17,-0.499991945,0.499991945,0.27459,0.504204599,3.65E-05,0.000973908,5.10E-05,-0.08308443,0.02689789,0.223849356,2451.595955,19.4933134,0.019779536
CHILD,0,3,0.28886655,0.31762064,-11.415823,23.537395,865,2253.543777,3417.700631,16,-0.5,-1.25E-05,-0.5,0.499987451,0.22073886,0.238723458,8.92E-05,0.017504223,1.19E-06,-0.02665803,0.020798778,0.126704393,2162.418355,20.86936885,0.021095269
CHILD,0,4,0.2592968,0.11254408,-10.505422,22.60769045,1281,2698.962615,2882.935442,6,-0.32,2.51E-18,-0.49998895,0.49998895,0.21121785,0.241753716,4.08E-05,0.019362396,0.000247795,-0.073014975,0.028769819,0.183017842,2482.819003,20.95243242,0.022234147
CHILD,0,5,0.4213368,0.13324806,-12.950964,19.17806435,3189,3232.761872,2838.436984,18.5,-0.13,-1.09E-05,-0.5,0.499989091,0.37197176,0.546845004,1.09E-05,4.39E-05,3.54E-05,-0.080798015,0.007728281,0.131259864,2408.577049,17.44929221,0.030519706
CHILD,0,6,0.28329432,0.20829931,-9.804067,23.65815961,1323,3062.790395,3147.988866,30,0.3,-1.03E-05,-0.5,0.499989669,0.24407755,0.328831913,3.06E-05,0.003441868,7.00E-05,0.004334292,0.0205561,0.215115343,2723.923557,19.98481374,0.028005934
CHILD,0,7,0.29779664,0.14145455,-15.800277,19.58264983,2035,3156.002877,3365.664975,25.5,0.24,-1.17E-05,-0.5,0.499988274,0.22302143,0.292644587,1.81E-06,0.000154746,3.76E-05,-0.000256366,0.005295498,0.050496321,2550.421089,19.96436399,0.007883898
CHILD,0,8,0.34380287,0.3214951,-12.415485,20.34005618,2017,3253.355934,4015.501892,22,-0.44,-1.08E-05,-0.5,0.499989213,0.28310856,0.427004919,-1.84E-05,0.000155237,7.25E-05,-0.038061026,0.012930733,0.100137515,2776.150605,18.90669883,0.018906666
CHILD,0,9,0.40199828,0.28414956,-11.898994,20.52147532,6893,3106.170869,4074.21337,17.5,0.03,-9.98E-18,-0.499990758,0.499990758,0.39899835,0.723993374,3.58E-05,0.000316357,3.62E-05,-0.033362046,0.029579552,0.270445989,2590.473312,17.86688115,0.021369766
CHILD,0,10,0.33037448,0.18054053,-10.781008,22.9033345,1361,3269.605963,2476.70205,4,0.12,-2.94E-18,-0.499988518,0.499988518,0.19103616,0.161815774,2.56E-05,0.000637376,6.75E-05,-0.09739076,0.013718925,0.131727513,2451.210944,20.11284863,0.017838078
CHILD,0,11,0.35690054,0.63981277,-13.467334,21.23113847,1885,2636.47402,3551.337688,19.5,-0.47,-1.70E-05,-0.5,0.499982977,0.36908945,0.579169434,-4.49E-06,0.00114924,9.62E-05,-0.108208604,0.019237513,0.167784415,2354.655061,19.07541668,0.048037011
CHILD,0,12,0.36761415,0.3792663,-8.116847,19.16229427,10302,2434.459987,3457.066384,23.5,0.07,-8.15E-06,-0.5,0.499991849,0.37737533,0.652015219,-1.78E-05,0.003977012,0.000166257,-0.09506926,0.065326646,0.525112602,2474.593735,18.84990523,0.061623229
CHILD,0,13,0.3262049,0.23535821,-6.919595,19.74244189,502,2077.685563,2801.661557,3,-0.14,-1.68E-05,-0.5,0.499983166,0.18635279,0.147697371,6.00E-05,0.049162246,0.000126167,-0.016341515,0.017127886,0.098422025,1965.959852,20.60066244,0.019544015
CHILD,0,14,0.3559002,0.16895844,-12.72308,20.03869009,4772,3073.605457,4110.734247,25,-0.28,7.03E-18,-0.499989688,0.499989688,0.3149165,0.555047368,1.02E-05,0.000383313,3.56E-05,-0.007113298,0.027211137,0.158302953,2780.017032,18.50127896,0.01332247
CHILD,0,15,0.30783686,0.06894522,-9.754298,22.35708594,1023,2655.924583,4345.708206,21,0.28,-1.09E-05,-0.5,0.49998911,0.18802665,0.169972996,3.06E-06,0.000815267,1.06E-05,-0.015055002,0.007268871,0.036519321,2064.648759,20.30229967,0.01016542
